fname,itp,tp_prob,its,ts_prob
HK.HKCC2.npz_294000.npz,[],[],[],[]
HK.HKCC2.npz_286500.npz,[],[],[],[]
HK.HKCC2.npz_295500.npz,[],[],[],[]
HK.HKCC2.npz_291000.npz,[],[],[],[]
HK.HKCC2.npz_289500.npz,[],[],[],[]
HK.HKCC2.npz_288000.npz,[],[],[],[]
HK.HKCC2.npz_297000.npz,[],[],[],[]
HK.HKCC2.npz_292500.npz,[],[],[],[]
HK.HKCC2.npz_306000.npz,[],[],[],[]
HK.HKCC2.npz_298500.npz,[],[],[],[]
HK.HKCC2.npz_307500.npz,[],[],[],[]
HK.HKCC2.npz_303000.npz,[],[],[],[]
HK.HKCC2.npz_301500.npz,[],[],[],[]
HK.HKCC2.npz_300000.npz,[],[],[],[]
HK.HKCC2.npz_309000.npz,[],[],[],[]
HK.HKCC2.npz_304500.npz,[],[],[],[]
HK.HKCC2.npz_318000.npz,[],[],[],[]
HK.HKCC2.npz_310500.npz,[],[],[],[]
HK.HKCC2.npz_319500.npz,[],[],[],[]
HK.HKCC2.npz_315000.npz,[],[],[],[]
HK.HKCC2.npz_313500.npz,[],[],[],[]
HK.HKCC2.npz_312000.npz,[],[],[],[]
HK.HKCC2.npz_321000.npz,[],[],[],[]
HK.HKCC2.npz_316500.npz,[],[],[],[]
HK.HKCC2.npz_330000.npz,[],[],[],[]
HK.HKCC2.npz_322500.npz,[],[],[],[]
HK.HKCC2.npz_331500.npz,[],[],[],[]
HK.HKCC2.npz_327000.npz,[],[],[],[]
HK.HKCC2.npz_325500.npz,[],[],[],[]
HK.HKCC2.npz_324000.npz,[],[],[],[]
HK.HKCC2.npz_333000.npz,[],[],[],[]
HK.HKCC2.npz_328500.npz,[],[],[],[]
HK.HKCC2.npz_342000.npz,[],[],[],[]
HK.HKCC2.npz_334500.npz,[],[],[],[]
HK.HKCC2.npz_343500.npz,[],[],[],[]
HK.HKCC2.npz_339000.npz,[],[],[],[]
HK.HKCC2.npz_337500.npz,[],[],[],[]
HK.HKCC2.npz_336000.npz,[],[],[],[]
HK.HKCC2.npz_345000.npz,[2593],[ 0.48976374],[],[]
HK.HKCC2.npz_340500.npz,[],[],[],[]
HK.HKCC2.npz_354000.npz,[],[],[],[]
HK.HKCC2.npz_346500.npz,[],[],[],[]
HK.HKCC2.npz_355500.npz,[],[],[],[]
HK.HKCC2.npz_351000.npz,[],[],[],[]
HK.HKCC2.npz_349500.npz,[],[],[],[]
HK.HKCC2.npz_348000.npz,[],[],[],[]
HK.HKCC2.npz_357000.npz,[],[],[],[]
HK.HKCC2.npz_352500.npz,[],[],[],[]
HK.HKCC2.npz_366000.npz,[],[],[],[]
HK.HKCC2.npz_358500.npz,[],[],[],[]
HK.HKCC2.npz_367500.npz,[],[],[],[]
HK.HKCC2.npz_363000.npz,[],[],[],[]
HK.HKCC2.npz_361500.npz,[],[],[],[]
HK.HKCC2.npz_360000.npz,[],[],[],[]
HK.HKCC2.npz_369000.npz,[],[],[],[]
HK.HKCC2.npz_364500.npz,[],[],[],[]
HK.HKCC2.npz_378000.npz,[],[],[],[]
HK.HKCC2.npz_370500.npz,[],[],[],[]
HK.HKCC2.npz_379500.npz,[],[],[],[]
HK.HKCC2.npz_375000.npz,[],[],[],[]
HK.HKCC2.npz_373500.npz,[],[],[],[]
HK.HKCC2.npz_372000.npz,[2403],[ 0.46215647],[],[]
HK.HKCC2.npz_381000.npz,[],[],[],[]
HK.HKCC2.npz_376500.npz,[],[],[],[]
HK.HKCC2.npz_390000.npz,[],[],[],[]
