fname,itp,tp_prob,its,ts_prob
CCC.mseed_642000,[1079 2672],[ 0.967945    0.49389562],[1413 2991],[ 0.87292767  0.3468673 ]
CCC.mseed_645000,[],[],[147],[ 0.40643165]
CCC.mseed_648000,[ 319 2083],[ 0.9802263   0.82743955],[ 634 2430],[ 0.7219574   0.59616643]
CCC.mseed_651000,[1953],[ 0.9728837],[2281],[ 0.82550025]
CCC.mseed_654000,[],[],[],[]
CCC.mseed_657000,[ 616 2687],[ 0.8020773   0.82436883],[929],[ 0.60931474]
CCC.mseed_660000,[2028],[ 0.79011774],[2359],[ 0.5365251]
CCC.mseed_663000,[],[],[60],[ 0.4186355]
CCC.mseed_666000,[ 632 2439],[ 0.7989623  0.7491483],[961],[ 0.761806]
CCC.mseed_669000,[ 157 2285],[ 0.92585003  0.7315004 ],[508],[ 0.863031]
CCC.mseed_672000,[1803],[ 0.9715111],[2149],[ 0.72200435]
CCC.mseed_675000,[ 483 1613],[ 0.924644   0.8752897],[ 791 1885],[ 0.8438302  0.7672902]
CCC.mseed_678000,[204],[ 0.9508665],[ 536 1161],[ 0.8561754   0.77828896]
CCC.mseed_681000,[318],[ 0.9751823],[750],[ 0.70075834]
CCC.mseed_684000,[1853],[ 0.9346262],[2204],[ 0.7799435]
CCC.mseed_687000,[],[],[],[]
CCC.mseed_690000,[339],[ 0.90396804],[673],[ 0.7636694]
CCC.mseed_693000,[189],[ 0.9814305],[514],[ 0.8899299]
CCC.mseed_696000,[1194],[ 0.94973195],[1605],[ 0.7469284]
CCC.mseed_699000,[],[],[153],[ 0.82950646]
CCC.mseed_702000,[2035],[ 0.57101464],[2595],[ 0.32201132]
CCC.mseed_705000,[1754 2679],[ 0.9213783   0.94695646],[2163],[ 0.7587522]
CCC.mseed_708000,[1354],[ 0.95912105],[1786],[ 0.8130621]
CCC.mseed_711000,[1021],[ 0.9248275],[1344],[ 0.7671064]
CCC.mseed_714000,[ 464 1352 2871],[ 0.91993636  0.4139001   0.4495513 ],[ 792 1683],[ 0.801718    0.33433962]
CCC.mseed_717000,[1300 2423],[ 0.9411235   0.38651374],[1650 2761],[ 0.7878268   0.59872323]
CCC.mseed_720000,[1501],[ 0.95386726],[1913],[ 0.8211832]
CCC.mseed_723000,[],[],[2235],[ 0.32325003]
CCC.mseed_726000,[1609],[ 0.74632627],[2021],[ 0.85994565]
CCC.mseed_729000,[326],[ 0.8826258],[ 665 2459],[ 0.8249487  0.5392347]
CCC.mseed_732000,[ 568 1904 2883],[ 0.94005835  0.32547733  0.72579944],[ 916 2241],[ 0.9004026  0.6154653]
CCC.mseed_735000,[],[],[ 257 2211],[ 0.8607479  0.4677746]
CCC.mseed_738000,[168],[ 0.93832695],[ 535 1048],[ 0.81251097  0.53071415]
CCC.mseed_741000,[1659],[ 0.7542713],[1677],[ 0.31992972]
CCC.mseed_744000,[ 277 2586],[ 0.85912347  0.95420086],[ 628 2956],[ 0.719328   0.8244436]
CCC.mseed_747000,[1084],[ 0.89478093],[1421 2651],[ 0.74054927  0.32099319]
CCC.mseed_750000,[196],[ 0.9744881],[566],[ 0.789496]
CCC.mseed_753000,[ 843 2104],[ 0.93687207  0.8460002 ],[1177 2442],[ 0.7604688  0.7014053]
CCC.mseed_756000,[550],[ 0.9209739],[ 890 2477],[ 0.83720714  0.8840557 ]
CCC.mseed_759000,[ 920 2106],[ 0.81300163  0.9352797 ],[ 324 1260 1771 2522],[ 0.6202896   0.6630739   0.45508412  0.7906781 ]
CCC.mseed_762000,[1576],[ 0.4082847],[ 295 1936],[ 0.47989818  0.5950203 ]
CCC.mseed_765000,[1174],[ 0.948758],[1729],[ 0.73245984]
CCC.mseed_768000,[2789],[ 0.77613807],[  60 2449],[ 0.536644    0.52558196]
CCC.mseed_771000,[ 299 2281],[ 0.93590057  0.5640692 ],[ 657 2650],[ 0.56775415  0.8492003 ]
CCC.mseed_774000,[2215],[ 0.9847615],[2565],[ 0.9426358]
CCC.mseed_777000,[],[],[],[]
CCC.mseed_780000,[2434],[ 0.94639164],[2771],[ 0.48184776]
CCC.mseed_783000,[],[],[],[]
CCC.mseed_786000,[],[],[1559],[ 0.36521786]
CCC.mseed_789000,[ 171 1637 2763],[ 0.9209443   0.64176315  0.86216956],[ 608 2052],[ 0.58459425  0.6879926 ]
CCC.mseed_792000,[2663],[ 0.40611768],[125 650],[ 0.790195    0.83185804]
CCC.mseed_795000,[1658],[ 0.91495454],[  33 2021],[ 0.6197397  0.885727 ]
CCC.mseed_798000,[ 356  887 2133],[ 0.5513645   0.9441016   0.64299494],[1236 2499],[ 0.38827744  0.78101325]
CCC.mseed_801000,[1669 2776],[ 0.93831116  0.83719814],[2098],[ 0.7727445]
CCC.mseed_804000,[1488 2905],[ 0.30821013  0.3005525 ],[ 126 2369],[ 0.5522574  0.5867159]
CCC.mseed_807000,[ 318 2953],[ 0.8664292   0.56879413],[678],[ 0.37808725]
CCC.mseed_810000,[388],[ 0.97142774],[728],[ 0.7008158]
CCC.mseed_813000,[],[],[ 561 2706],[ 0.40989608  0.7935346 ]
CCC.mseed_816000,[1190 2325],[ 0.97101766  0.71170235],[1617 2774],[ 0.8189544   0.57448286]
CCC.mseed_819000,[1264],[ 0.8753738],[  81 1714],[ 0.32490095  0.8729696 ]
CCC.mseed_822000,[227],[ 0.9820041],[597],[ 0.9003019]
CCC.mseed_825000,[2613],[ 0.95209813],[2991],[ 0.62438077]
CCC.mseed_828000,[],[],[669],[ 0.80808294]
CCC.mseed_831000,[2598],[ 0.9297389],[  50 2949],[ 0.48363146  0.92133343]
CCC.mseed_834000,[],[],[55],[ 0.57365465]
CCC.mseed_837000,[ 223 1335],[ 0.91547596  0.9529605 ],[ 560 1683],[ 0.7401188   0.89374954]
CCC.mseed_840000,[ 688 1760 2515],[ 0.66239786  0.64500594  0.7157409 ],[ 208 1114 1984 2857],[ 0.72996384  0.69084084  0.35963973  0.7737098 ]
CCC.mseed_843000,[2614],[ 0.9676696],[ 239 2965],[ 0.34986338  0.74700797]
CCC.mseed_846000,[],[],[107],[ 0.46308395]
CCC.mseed_849000,[614],[ 0.8720137],[941],[ 0.72204447]
CCC.mseed_852000,[],[],[],[]
CCC.mseed_855000,[],[],[],[]
CCC.mseed_858000,[1315],[ 0.90771127],[1646],[ 0.61261904]
CCC.mseed_861000,[2251],[ 0.5275463],[2697],[ 0.73826486]
CCC.mseed_864000,[547],[ 0.81468636],[950],[ 0.833302]
CCC.mseed_867000,[2097],[ 0.8357186],[1559 2438],[ 0.71546245  0.828396  ]
CCC.mseed_870000,[ 892 2336],[ 0.95177704  0.60270697],[  52 1180 2667],[ 0.5663166   0.8838202   0.40497562]
CCC.mseed_873000,[ 739 1868],[ 0.8502962   0.97098416],[1116 2192],[ 0.7965877  0.6353341]
CCC.mseed_876000,[2505],[ 0.9759305],[],[]
CCC.mseed_879000,[],[],[45],[ 0.33911136]
CCC.mseed_882000,[2220],[ 0.9837346],[2529],[ 0.8914738]
CCC.mseed_885000,[],[],[],[]
CCC.mseed_888000,[2578],[ 0.95908237],[2921],[ 0.66771054]
CCC.mseed_891000,[1075 1845 2655],[ 0.86411035  0.58110654  0.88399416],[ 149 1430 2193],[ 0.8847479   0.77210075  0.71294624]
CCC.mseed_894000,[1860 2541],[ 0.9150741  0.5615502],[2173 2891],[ 0.9297563   0.31400815]
CCC.mseed_897000,[180],[ 0.71900946],[504],[ 0.89159006]
CCC.mseed_900000,[880],[ 0.9313405],[110],[ 0.57746035]
CCC.mseed_903000,[345 436],[ 0.6374176  0.5432023],[ 841 1441],[ 0.8335737   0.39026132]
CCC.mseed_906000,[ 715 1635],[ 0.94741654  0.56859976],[1054 2000],[ 0.78030443  0.64361125]
CCC.mseed_909000,[ 585 2568],[ 0.3584727  0.9520912],[ 895 2887],[ 0.33998343  0.81707346]
CCC.mseed_912000,[2813],[ 0.9411616],[ 264 1872],[ 0.6403037  0.64228  ]
CCC.mseed_915000,[ 146 2351],[ 0.95196724  0.44307247],[ 485 2775],[ 0.73114246  0.41348028]
CCC.mseed_918000,[ 557 2556],[ 0.9833966   0.94809926],[ 869 2900],[ 0.91150826  0.8699185 ]
CCC.mseed_921000,[1552],[ 0.9049803],[  39 2019],[ 0.62839586  0.7986036 ]
CCC.mseed_924000,[1204 2323],[ 0.9444766   0.78466713],[1570 2696],[ 0.7755037  0.648977 ]
CCC.mseed_927000,[2643],[ 0.93537045],[1220],[ 0.38089857]
CCC.mseed_930000,[685],[ 0.66986686],[1390],[ 0.79197615]
CCC.mseed_933000,[1292],[ 0.968458],[ 580 1642],[ 0.39816102  0.73700356]
CCC.mseed_936000,[1360 2519],[ 0.9870985   0.46184608],[1710 2861],[ 0.7574168  0.4587806]
CCC.mseed_939000,[1143],[ 0.9221902],[1506],[ 0.79181653]
