fname,itp,tp_prob,its,ts_prob
HK.HKPS.mseed_189000,[],[],[],[]
HK.HKPS.mseed_192000,[],[],[],[]
HK.HKPS.mseed_195000,[],[],[],[]
HK.HKPS.mseed_198000,[],[],[],[]
HK.HKPS.mseed_201000,[],[],[],[]
HK.HKPS.mseed_204000,[],[],[],[]
HK.HKPS.mseed_207000,[],[],[],[]
HK.HKPS.mseed_210000,[],[],[],[]
HK.HKPS.mseed_213000,[],[],[],[]
HK.HKPS.mseed_216000,[],[],[],[]
HK.HKPS.mseed_219000,[],[],[],[]
HK.HKPS.mseed_222000,[],[],[],[]
HK.HKPS.mseed_225000,[],[],[],[]
HK.HKPS.mseed_228000,[],[],[],[]
HK.HKPS.mseed_231000,[],[],[],[]
HK.HKPS.mseed_234000,[],[],[],[]
HK.HKPS.mseed_237000,[],[],[],[]
HK.HKPS.mseed_240000,[],[],[],[]
HK.HKPS.mseed_243000,[],[],[],[]
HK.HKPS.mseed_246000,[],[],[],[]
HK.HKPS.mseed_249000,[],[],[],[]
HK.HKPS.mseed_252000,[],[],[],[]
HK.HKPS.mseed_255000,[],[],[],[]
HK.HKPS.mseed_258000,[],[],[],[]
HK.HKPS.mseed_261000,[],[],[],[]
HK.HKPS.mseed_264000,[],[],[],[]
HK.HKPS.mseed_267000,[],[],[],[]
HK.HKPS.mseed_333000,[],[],[],[]
HK.HKPS.mseed_270000,[],[],[],[]
HK.HKPS.mseed_336000,[],[],[],[]
HK.HKPS.mseed_273000,[],[],[],[]
HK.HKPS.mseed_339000,[],[],[],[]
HK.HKPS.mseed_276000,[],[],[],[]
HK.HKPS.mseed_279000,[],[],[],[]
HK.HKPS.mseed_342000,[],[],[],[]
HK.HKPS.mseed_282000,[],[],[],[]
HK.HKPS.mseed_345000,[],[],[],[]
HK.HKPS.mseed_348000,[],[],[],[]
HK.HKPS.mseed_285000,[],[],[],[]
HK.HKPS.mseed_288000,[],[],[],[]
HK.HKPS.mseed_351000,[],[],[],[]
HK.HKPS.mseed_354000,[],[],[],[]
HK.HKPS.mseed_291000,[],[],[],[]
HK.HKPS.mseed_357000,[],[],[],[]
HK.HKPS.mseed_294000,[],[],[],[]
HK.HKPS.mseed_297000,[],[],[],[]
HK.HKPS.mseed_300000,[],[],[],[]
HK.HKPS.mseed_360000,[],[],[],[]
HK.HKPS.mseed_363000,[],[],[],[]
HK.HKPS.mseed_303000,[],[],[],[]
HK.HKPS.mseed_306000,[],[],[],[]
HK.HKPS.mseed_366000,[],[],[],[]
HK.HKPS.mseed_309000,[],[],[],[]
HK.HKPS.mseed_369000,[],[],[],[]
HK.HKPS.mseed_312000,[],[],[],[]
HK.HKPS.mseed_372000,[],[],[],[]
HK.HKPS.mseed_315000,[],[],[],[]
HK.HKPS.mseed_375000,[],[],[],[]
HK.HKPS.mseed_318000,[],[],[],[]
HK.HKPS.mseed_321000,[],[],[],[]
HK.HKPS.mseed_324000,[],[],[],[]
HK.HKPS.mseed_378000,[],[],[],[]
HK.HKPS.mseed_327000,[],[],[],[]
HK.HKPS.mseed_381000,[],[],[],[]
HK.HKPS.mseed_330000,[],[],[],[]
HK.HKPS.mseed_384000,[],[],[],[]
HK.HKPS.mseed_333000,[],[],[],[]
HK.HKPS.mseed_387000,[],[],[],[]
HK.HKCC2.mseed_0,[],[],[],[]
HK.HKPS.mseed_390000,[],[],[],[]
HK.HKPS.mseed_336000,[],[],[],[]
